CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
290010;2900108;ABAÍRA;-41,742894;-13,296569;8739;05/06/2020;4;0;0;45,77
290020;2900207;ABARÉ;-39,317693;-8,83354;20086;05/06/2020;0;0;NA;0
290030;2900306;ACAJUTIBA;-38,000531;-11,663172;15159;05/06/2020;3;0;0;19,79
290035;2900355;ADUSTINA;-38,037088;-10,562382;17040;05/06/2020;3;1;33,33;17,61
290040;2900405;ÁGUA FRIA;-38,71045;-11,823137;16970;05/06/2020;8;1;12,5;47,14
290050;2900504;ÉRICO CARDOSO;-42,067321;-13,400215;10610;05/06/2020;0;0;NA;0
290060;2900603;AIQUARA;-39,880862;-14,091819;4446;05/06/2020;8;1;12,5;179,94
290070;2900702;ALAGOINHAS;-38,402259;-12,113185;151596;05/06/2020;153;3;1,96;100,93
290080;2900801;ALCOBAÇA;-39,409063;-17,468989;22470;05/06/2020;2;0;0;8,9
290090;2900900;ALMADINA;-39,664093;-14,701273;5464;05/06/2020;3;0;0;54,9
290100;2901007;AMARGOSA;-39,626296;-13,040884;37241;05/06/2020;12;1;8,33;32,22
290110;2901106;AMÉLIA RODRIGUES;-38,718124;-12,420497;25102;05/06/2020;30;0;0;119,51
290115;2901155;AMÉRICA DOURADA;-41,522923;-11,406196;16094;05/06/2020;0;0;NA;0
290120;2901205;ANAGÉ;-40,970846;-14,590126;22005;05/06/2020;2;1;50;9,09
290130;2901304;ANDARAÍ;-41,215092;-12,733629;13143;05/06/2020;2;0;0;15,22
290135;2901353;ANDORINHA;-39,871901;-10,280762;14595;05/06/2020;0;0;NA;0
290140;2901403;ANGICAL;-44,647724;-11,996639;13977;05/06/2020;0;0;NA;0
290150;2901502;ANGUERA;-39,192832;-12,182974;11221;05/06/2020;21;0;0;187,15
290160;2901601;ANTAS;-38,294029;-10,406571;19291;05/06/2020;5;0;0;25,92
290170;2901700;ANTÔNIO CARDOSO;-39,147051;-12,379795;11683;05/06/2020;4;0;0;34,24
290180;2901809;ANTÔNIO GONÇALVES;-40,362365;-10,601509;11798;05/06/2020;0;0;NA;0
290190;2901908;APORÁ;-38,193803;-11,731565;17731;05/06/2020;13;1;7,69;73,32
290195;2901957;APUAREMA;-39,75157;-13,820034;7330;05/06/2020;1;0;0;13,64
290200;2902005;ARACATU;-41,374548;-14,371226;13135;05/06/2020;5;0;0;38,07
290205;2902054;ARAÇAS;-38,212521;-12,172959;12177;05/06/2020;2;0;0;16,42
290210;2902104;ARACI;-39,064595;-11,212404;54379;05/06/2020;19;1;5,26;34,94
290220;2902203;ARAMARI;-38,524985;-12,050722;11397;05/06/2020;2;0;0;17,55
290225;2902252;ARATACA;-39,41218;-15,243275;11019;05/06/2020;2;0;0;18,15
290230;2902302;ARATUÍPE;-39,069429;-13,08463;8825;05/06/2020;2;1;50;22,66
290240;2902401;AURELINO LEAL;-39,478263;-14,362134;11531;05/06/2020;16;0;0;138,76
290250;2902500;BAIANÓPOLIS;-44,44023;-12,657125;13877;05/06/2020;1;0;0;7,21
290260;2902609;BAIXA GRANDE;-40,152775;-11,96475;20468;05/06/2020;0;0;NA;0
290265;2902658;BANZAÊ;-38,654344;-10,616472;13229;05/06/2020;11;0;0;83,15
290270;2902708;BARRA;-43,366169;-11,030863;53578;05/06/2020;4;0;0;7,47
290280;2902807;BARRA DA ESTIVA;-41,098092;-13,650485;20598;05/06/2020;0;0;NA;0
