cd_geocmu;city;long;lat;populacao_mun;totalCases;death
2900108;Abaíra;-41,742894;-13,296569;8739;1;0
2900207;Abaré;-39,317693;-8,83354;20086;0;0
2900306;Acajutiba;-38,000531;-11,663172;15159;0;0
2900355;Adustina;-38,037088;-10,562382;17040;1;1
2900405;Água Fria;-38,71045;-11,823137;16970;0;0
2900603;Aiquara;-39,880862;-14,091819;4446;1;0
2900702;Alagoinhas;-38,402259;-12,113185;151596;5;0
2900801;com;-39,409063;-17,468989;22470;0;0
2900900;Almadina;-39,664093;-14,701273;5464;0;0
2901007;Amargosa;-39,626296;-13,040884;37241;0;0
2901106;Amélia Rodrigues;-38,718124;-12,420497;25102;1;0
2901155;América Dourada;-41,522923;-11,406196;16094;0;0
2901205;Anagé;-40,970846;-14,590126;22005;0;0
2901304;Andaraí;-41,215092;-12,733629;13143;0;0
2901353;Andorinha;-39,871901;-10,280762;14595;0;0
2901403;Angical;-44,647724;-11,996639;13977;0;0
2901502;Anguera;-39,192832;-12,182974;11221;0;0
2901601;Antas;-38,294029;-10,406571;19291;0;0
2901700;Antônio Cardoso;-39,147051;-12,379795;11683;0;0
2901809;Antônio Gonçalves;-40,362365;-10,601509;11798;0;0
2901908;Aporá;-38,193803;-11,731565;17731;0;0
2901957;Apuarema;-39,75157;-13,820034;7330;0;0
2902054;Araças;-38,212521;-12,172959;12177;0;0
2902005;Aracatu;-41,374548;-14,371226;13135;0;0
2902104;Araci;-39,064595;-11,212404;54379;1;1
2902203;Aramari;-38,524985;-12,050722;11397;0;0
2902252;Arataca;-39,41218;-15,243275;11019;0;0
2902302;Aratuípe;-39,069429;-13,08463;8825;0;0
2902401;Aurelino Leal;-39,478263;-14,362134;11531;1;0
2902500;Baianópolis;-44,44023;-12,657125;13877;0;0
2902609;Baixa Grande;-40,152775;-11,96475;20468;0;0
2902658;Banzaê;-38,654344;-10,616472;13229;0;0
2902708;Barra;-43,366169;-11,030863;53578;2;0
2902807;Barra da Estiva;-41,098092;-13,650485;20598;0;0
2902906;Barra do Choça;-40,581198;-14,912901;31603;1;0
2903003;Barra do Mendes;-42,114404;-11,96709;13865;0;0
2903102;Barra do Rocha;-39,587949;-14,10248;5714;3;0
2903201;Barreiras;-45,525105;-12,0176;155439;1;0
2903235;Barro Alto;-41,836786;-11,847992;14931;0;0
2903276;Barrocas;-39,09492;-11,538041;15978;0;0
2903409;Belmonte;-39,177271;-15,935417;23328;2;1
2903508;Belo Campo;-41,20384;-14,998514;17211;0;0
2903607;Biritinga;-38,792633;-11,585323;15979;0;0
2903706;Boa Nova;-40,230115;-14,360234;12633;0;0
2903805;Boa Vista do Tupim;-40,670227;-12,770168;18576;0;0
2903904;Bom Jesus da Lapa;-43,293387;-13,277147;69148;1;0
2903953;Bom Jesus da Serra;-40,577361;-14,389879;9880;0;0
2904001;Boninal;-41,802498;-12,776673;14368;0;0
2904050;Bonito;-41,320414;-11,969278;16764;0;0
2904100;Boquira;-42,722289;-12,74112;21508;0;0
2904209;Botuporã;-42,534706;-13,32623;10211;0;0
2904308;Brejões;-39,850783;-13,075374;14295;0;0
2904407;Brejolândia;-43,824764;-12,499374;10557;0;0
2904506;Brotas de Macaúbas;-42,46516;-12,086689;10231;0;0
2904605;Brumado;-41,689077;-14,167943;67195;8;0
2904704;Buerarema;-39,269578;-14,996443;18349;1;0
2904753;Buritirama;-43,66763;-10,588126;21174;0;0
2904803;Caatiba;-40,364107;-14,995802;6758;0;0
2904852;Cabaceiras do Paraguaçu;-39,192485;-12,564274;18807;0;0
2904902;Cachoeira;-38,884757;-12,640864;33470;1;0
2905008;Caculé;-42,28505;-14,48289;23170;0;0
2905107;Caém;-40,291104;-11,143067;9213;0;0
2905156;Caetanos;-40,915807;-14,325683;14542;0;0
2905206;Caetité;-42,476638;-13,947968;50975;0;0
2905305;Cafarnaum;-41,501449;-11,733822;18437;0;0
2905404;Cairu;-38,983431;-13,50687;18176;0;0
2905503;Caldeirão Grande;-40,22183;-11,039859;13327;0;0
2905602;Camacan;-39,518677;-15,444373;31988;1;0
2905701;Camaçari;-38,206303;-12,666005;299132;18;0
